"model","run","conv","nit","gamma","C1","C2","C3","kappa1","kappa2","kappa3","epsilon","sigma_eta","sigma_xi","F_4xCO2"
"ACCESS-CM2","r1i1p1f1","TRUE","3171","1.62072451915373","3.72972260105909","11.6444936917396","86.3257245498247","0.671027691214729","2.81117677199728","0.683199874715299","1.3464364302583","0.445286395062374","0.525840267787606","7.19220933104333"
"ACCESS-ESM1-5","r1i1p1f1","TRUE","3493","2.74240072537562","3.76776384169839","8.92243653069628","87.0662314866628","0.699549083239761","3.58326396985571","0.842629685603603","1.55778145440405","0.636711796431158","0.60474117128883","6.55759579726311"
"AWI-CM-1-1-MR","r1i1p1f1","TRUE","4404","3.96673316600819","4.13862009761153","10.997823189897","47.1534702416862","1.22371559193472","1.78873249994239","0.661920867201888","1.3166949191846","0.93541338416898","0.65197231564864","8.02477169629889"
"BCC-CSM2-MR","r1i1p1f1","TRUE","3500","2.30215960281881","4.15524553676827","11.8310960297716","63.2589684985976","1.06461705236783","2.13436818826821","0.852585057630639","1.24862546110283","0.541909540436533","0.344426451831633","6.71134730122371"
"BCC-ESM1","r1i1p1f1","TRUE","2902","1.88056041855937","5.35348942766451","15.8253401550615","77.401710827737","0.884922677950538","1.47912256968588","0.914739947834794","1.29394813721537","0.38905668389037","0.314775741102941","6.25364727002125"
"CAMS-CSM1-0","r1i1p1f1","TRUE","3959","29.7163674281476","2.4414535592786","9.79363405390459","52.4590858909205","1.88769110357738","5.21690210944685","0.617542808561564","1.29934099209597","2.75074387449546","0.428578258334411","8.91848561065596"
"CanESM5","r1i1p1f1","TRUE","2961","2.93474930038437","3.55921995492708","11.8088433753963","74.2822421249514","0.639422513036901","2.1732691564074","0.626968754233689","1.09919239738948","0.57185700828033","0.454727801634729","7.4722481986402"
"CanESM5","r1i1p2f1","TRUE","4188","2.61814068119023","3.63471566238868","10.6458052032424","73.0302082243273","0.618122001178156","2.47980063727727","0.612778217121584","1.11545347264259","0.421154572697489","0.48166142662049","7.33068840680286"
"CAS-ESM2-0","r1i1p1f1","TRUE","2644","1.89380243014471","3.56428853784264","8.56932314431912","54.9144372028","0.932447340040382","2.49786006900945","0.674523890656382","1.33057857341063","0.519499899349461","0.412760393080906","6.97484944618212"
"CESM2","r1i1p1f1","TRUE","3431","2.79690098486425","4.83077410386692","6.39786465598177","71.2943413971776","0.649446840304036","3.87595570846824","0.900817047173454","1.67858318136385","0.713536233343067","0.491658924234649","8.1752377039987"
"CESM2-FV2","r1i1p1f1","TRUE","3567","2.7128925794368","3.86275282199099","7.01638856759224","85.8140507200123","0.537783962826878","4.0074247306278","1.00592013567436","1.74965603147247","0.882561865096732","0.611252377908747","7.36118859414716"
"CESM2-WACCM","r1i1p1f1","TRUE","5329","2.97932360592799","3.8223537818019","6.1834055284621","85.3237667709477","0.7202000481812","7.32831134888716","0.838588840640349","1.58568791811085","0.704626877585369","0.506958237902768","8.07021502353399"
"CESM2-WACCM-FV2","r1i1p1f1","TRUE","2952","2.89424106964199","3.38605270647138","9.45527495020192","106.920723639916","0.562504497939671","3.52397196933269","0.944293202177612","1.50377133752844","0.941812930115404","0.53117490446864","6.72755280775836"
