,aci_scale,Sulfur
CanESM5,-0.7336649926442463,0.02586875687888967
CNRM-CM6-1,-1.7673607582304018,0.005325133519890451
E3SM-2-0,-1.7841828485590527,0.009849719599234035
GFDL-CM4,-11.283278324808817,0.0005476879218889853
GFDL-ESM4,-12776.502432293131,4.2058399984834746e-07
GISS-E2-1-G,-0.4366904662332289,0.027030378078300565
HadGEM3-GC31-LL,-1.1493545746562812,0.011658237393536247
IPSL-CM6A-LR,-1.1718719473489834,0.002992147327342853
MIROC6,-0.7981814323825157,0.016100203135222226
MPI-ESM-1-2-HAM,-2.73798645152689,0.005565048053231445
MRI-ESM2-0,-11.436891529611477,0.0006161279900593072
NorESM2-LM,-12.034998122850256,0.0008829114177294506
UKESM1-0-LL,-0.7226355700901151,0.03346897936475137
