Year,fossil emissions excluding carbonation,land-use change emissions,land-use change emissions GCB,land-use change emissions GCB*CO2/C,land-use change emissions/(CO2/C),land sink,terrestrial carbon balance,,old terrestrial carbon balance,,terrestrial carbon balance cumulative,,old terrestrial carbon balance cumulative
1750,0.009306084,0.010992174,,0,0.002999925,0.062352581,0.059352656,,0.062352581,,0.059352656,,0.062352581
1751,0.009407378,0.032976522,,0,0.008999775,-0.41839894,-0.427398715,,-0.41839894,,-0.368046059,,-0.356046359
1752,0.009505318,0.054960869,,0,0.014999625,-0.274563031,-0.289562656,,-0.274563031,,-0.657608715,,-0.63060939
1753,0.009610642,0.076945217,,0,0.020999475,-0.17896831,-0.199967785,,-0.17896831,,-0.857576501,,-0.809577699
1754,0.009733734,0.098929565,,0,0.026999326,-0.067778282,-0.094777607,,-0.067778282,,-0.952354108,,-0.877355981
1755,0.009793623,0.120913912,,0,0.032999176,-0.03785081,-0.070849985,,-0.03785081,,-1.023204093,,-0.915206791
1756,0.009910071,0.14289826,,0,0.038999026,0.436237802,0.397238776,,0.436237802,,-0.625965317,,-0.478968989
1757,0.010094096,0.164882608,,0,0.044998876,0.629884515,0.584885639,,0.629884515,,-0.041079678,,0.150915526
1758,0.01021652,0.186866955,,0,0.050998726,0.100096434,0.049097708,,0.100096434,,0.00801803,,0.25101196
1759,0.010339018,0.208851303,,0,0.056998576,-0.53027817,-0.587276746,,-0.53027817,,-0.579258716,,-0.279266209
1760,0.010514497,0.230835651,,0,0.062998426,-0.025867218,-0.088865645,,-0.025867218,,-0.668124361,,-0.305133428
1761,0.010748055,0.252819998,,0,0.068998277,-0.732103372,-0.801101648,,-0.732103372,,-1.469226009,,-1.037236799
1762,0.010952371,0.274804346,,0,0.074998127,-0.578992597,-0.653990724,,-0.578992597,,-2.123216733,,-1.616229397
1763,0.011191769,0.296788694,,0,0.080997977,0.443684818,0.362686841,,0.443684818,,-1.760529892,,-1.172544579
1764,0.011397162,0.318773041,,0,0.086997827,0.292558234,0.205560407,,0.292558234,,-1.554969485,,-0.879986345
1765,0.01164367,0.340757389,,0,0.092997677,-0.276541822,-0.369539499,,-0.276541822,,-1.924508985,,-1.156528167
1766,0.011876268,0.362741737,,0,0.098997527,0.308144826,0.209147298,,0.308144826,,-1.715361686,,-0.848383342
1767,0.012152701,0.384726084,,0,0.104997377,0.314763014,0.209765637,,0.314763014,,-1.505596049,,-0.533620327
1768,0.012467133,0.406710432,,0,0.110997228,0.377013174,0.266015946,,0.377013174,,-1.239580103,,-0.156607153
1769,0.012780276,0.42869478,,0,0.116997078,-0.0130615,-0.130058578,,-0.0130615,,-1.369638681,,-0.169668653
