Year,Albedo ERF
1750,-2.426398012893296e-05
1751,-0.0003921485514938746
1752,-0.0007457990744226226
1753,-0.0010856033213159527
1754,-0.001411949064574641
1755,-0.0017252240765994623
1756,-0.002025816129791193
1757,-0.002314112996550609
1758,-0.002590502449278486
1759,-0.0028553722603755992
1760,-0.003109110202242726
1761,-0.0033521040472806398
1762,-0.003584741567890117
1763,-0.003807410536471934
1764,-0.004020498725426867
1765,-0.004224393907155689
1766,-0.004419483854059181
1767,-0.004606156338538113
1768,-0.004784799132993264
1769,-0.004955800009825409
1770,-0.005119546741435324
1771,-0.005276427100223784
1772,-0.0054268288585915675
1773,-0.005571139788939446
1774,-0.005709747663668197
1775,-0.005843040255178595
1776,-0.00597140533587142
1777,-0.0060952306781474445
1778,-0.006214904054407443
1779,-0.006330813237052196
1780,-0.006443345998482473
1781,-0.006552890111099054
1782,-0.006659833347302714
1783,-0.006764563479494227
1784,-0.0068674682800743715
1785,-0.0069689355214439235
1786,-0.007069352976003656
1787,-0.007169108416154344
1788,-0.007268589614296765
1789,-0.007368184342831698
1790,-0.007468280374159913
1791,-0.007569265480682188
1792,-0.0076715274347993025
1793,-0.007775454008912025
1794,-0.007881432975421139
1795,-0.007989852106727414
1796,-0.008101099175231627
1797,-0.008215561953334553
1798,-0.008333628213436972
1799,-0.00845568572793966
1800,-0.008582122269243389
1801,-0.008713325609748933
1802,-0.008849683521857072
1803,-0.008991583777968581
1804,-0.009139414150484235
1805,-0.009293562411804809
1806,-0.009454416334331079
1807,-0.009622363690463823
1808,-0.009797792252603812
1809,-0.009981089793151827
1810,-0.010172644084508643
1811,-0.010372842899075032
1812,-0.01058207400925177
1813,-0.010800725187439637
1814,-0.011029184206039407
1815,-0.011267838837451853
1816,-0.01151700202258445
1817,-0.011776045004280809
1818,-0.012043695559667417
1819,-0.012318669005777737
1820,-0.012599680659645235
1821,-0.012885445838303384
1822,-0.013174679858785641
1823,-0.01346609803812548
1824,-0.013758416655636712
1825,-0.014050993222602661
1826,-0.014344936430240252
1827,-0.014641651171060074
1828,-0.014942542337572706
1829,-0.015249014822288732
1830,-0.015562473517718736
1831,-0.015884323316373298
1832,-0.01621594950398734
1833,-0.01655791368239291
1834,-0.01690967047342899
