Year,Montreal gases ERF
1750.0,0.0
1751.0,9.553940800199252e-15
1752.0,7.3332265503415e-10
1753.0,1.5114726512678335e-09
1754.0,2.2955216490393423e-09
1755.0,3.080347083309227e-09
1756.0,3.865274940514432e-09
1757.0,4.6502164955562135e-09
1758.0,5.435160047869584e-09
1759.0,6.220104042803221e-09
1760.0,7.005048263332018e-09
1761.0,7.789992671801927e-09
1762.0,8.574937252304914e-09
1763.0,9.359881995564935e-09
1764.0,1.0144826892119363e-08
1765.0,1.0929771933376686e-08
1766.0,1.1714717111147768e-08
1767.0,1.2499662417791961e-08
1768.0,1.3284607846116486e-08
1769.0,1.4069553389269123e-08
1770.0,1.4854499041717645e-08
1771.0,1.5639444795835332e-08
1772.0,1.64243906466047e-08
1773.0,1.72093365887454e-08
1774.0,1.7994282617209585e-08
1775.0,1.8779228727189358e-08
1776.0,1.9564174914303654e-08
1777.0,2.034912117427518e-08
1778.0,2.113406750391608e-08
1779.0,2.1919013897956717e-08
1780.0,2.2703960353497848e-08
1781.0,2.3488906867277838e-08
1782.0,2.4273853436122437e-08
1783.0,2.505880005708856e-08
1784.0,2.5843746727400503e-08
1785.0,2.6628693444365172e-08
1786.0,2.74136402055408e-08
1787.0,2.819858700934609e-08
1788.0,2.8983533852071986e-08
1789.0,2.9768480732189153e-08
1790.0,3.055342764787431e-08
1791.0,3.133837459723466e-08
1792.0,3.212332157848314e-08
1793.0,3.290826858998145e-08
1794.0,3.3693215630182965e-08
1795.0,3.447816269837399e-08
1796.0,3.526310979166332e-08
1797.0,3.604805690931654e-08
1798.0,3.683300405015895e-08
1799.0,3.761795121305891e-08
1800.0,3.840289839684661e-08
1801.0,3.918784560049119e-08
1802.0,3.997279282301704e-08
1803.0,4.075774006342906e-08
1804.0,4.154268732168016e-08
1805.0,4.2327634595409915e-08
1806.0,4.311258188443369e-08
1807.0,4.3897529187994045e-08
1808.0,4.4682476505503223e-08
1809.0,4.546742383623138e-08
1810.0,4.625237117951017e-08
1811.0,4.7037318534756406e-08
1812.0,4.782226590142e-08
1813.0,4.8607213279725436e-08
1814.0,4.939216066766629e-08
1815.0,5.0177108065342214e-08
1816.0,5.0962055472366145e-08
1817.0,5.1747002888348164e-08
1818.0,5.253195031281962e-08
1819.0,5.3316897745410425e-08
1820.0,5.410184518576926e-08
1821.0,5.488679263433535e-08
1822.0,5.5671740089205295e-08
1823.0,5.6456687550723124e-08
1824.0,5.724163501866227e-08
1825.0,5.8026582492680684e-08
1826.0,5.8811529972606174e-08
1827.0,5.959647745812557e-08
1828.0,6.038142494896445e-08
1829.0,6.116637244491203e-08
1830.0,6.195131994659122e-08
1831.0,6.273626745222201e-08
1832.0,6.352121496221738e-08
1833.0,6.430616247646129e-08
1834.0,6.509110999479425e-08
1835.0,6.587605751706731e-08
1836.0,6.666100504306183e-08
1837.0,6.744595257264543e-08
1838.0,6.823090010569237e-08
1839.0,6.901584764285312e-08
1840.0,6.980079518242533e-08
1841.0,7.058574272494487e-08
1842.0,7.137069027036448e-08
1843.0,7.215563781853785e-08
1844.0,7.29405853693784e-08
1845.0,7.372553292280266e-08
1846.0,7.451048047865639e-08
1847.0,7.529542803771231e-08
1848.0,7.608037559828568e-08
1849.0,7.686532316095292e-08
1850.0,7.765027072570482e-08
1851.0,7.804274448188728e-08
1852.0,7.804274442965107e-08
1853.0,7.804274437946969e-08
1854.0,7.80427443310904e-08
1855.0,7.804274428441892e-08
1856.0,7.804274423939014e-08
1857.0,7.804274419594034e-08
1858.0,7.804274415400907e-08
1859.0,7.80427441135385e-08
1860.0,7.804274407447454e-08
1861.0,7.8042744036763e-08
1862.0,7.804274400035315e-08
1863.0,7.804274396519688e-08
1864.0,7.804274393124766e-08
1865.0,7.804274389846006e-08
1866.0,7.804274386679133e-08
1867.0,7.804274383620134e-08
1868.0,7.804274380664921e-08
1869.0,7.804274377809803e-08
1870.0,7.804274375051119e-08
1871.0,7.804274372385429e-08
1872.0,7.80427436980933e-08
1873.0,7.804274367319604e-08
1874.0,7.804274364913139e-08
1875.0,7.804274362587008e-08
1876.0,7.804274360338409e-08
1877.0,7.804274358164498e-08
1878.0,7.804274356062715e-08
1879.0,7.804274354030449e-08
1880.0,7.804274352065354e-08
1881.0,7.804274350165006e-08
1882.0,7.804274348327236e-08
1883.0,7.804274346549818e-08
1884.0,7.804274344830634e-08
1885.0,7.804274343167728e-08
1886.0,7.80427434155913e-08
1887.0,7.804274340002998e-08
1888.0,7.80427433849752e-08
1889.0,7.80427433704103e-08
1890.0,7.804274335631762e-08
1891.0,7.804274334268199e-08
1892.0,7.804274332948773e-08
1893.0,7.804274331671926e-08
1894.0,7.804274330436299e-08
1895.0,7.80427432924055e-08
1896.0,7.804274328083264e-08
1897.0,7.804274326963133e-08
1898.0,7.804274325878962e-08
1899.0,7.80427432482956e-08
1900.0,7.803796131975653e-08
1901.0,7.804313419138812e-08
1902.0,7.804035454741964e-08
1903.0,7.804414407704531e-08
1904.0,7.803892047807882e-08
1905.0,7.804615771997109e-08
1906.0,7.803551346308393e-08
1907.0,7.804941154855791e-08
1908.0,7.802763262170309e-08
1909.0,8.415139829260824e-08
1910.0,1.1194363438846926e-07
1911.0,4.852090631722599e-06
1912.0,1.1153074783333167e-05
1913.0,1.414192031543432e-05
1914.0,2.2017470046669108e-05
