Year,Emissions.CO2 Emissions from Fossil use,Emissions.CO2 Emissions from Food and Land Use,Emissions.Total N2O Emissions,Emissions.N2O non AFOLU Emissions,Emissions.Total CH4 Emissions,Emissions.Total SO2 Emissions,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Natural Forcing.Baseline Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Baseline Effective Radiative Forcing from Volcanoes,Emissions.HFC134a eq Emissions
1750,9.30631674,0,158.3908851,7.122395137,41.93349361,2.415663207,0,344.3627591,0,0,0
1751,9.407612152,22.20696647,161.0955187,8.66773867,42.05635089,2.416896718,-1.71E-10,344.3627583,0.064448249,0.18575121,0
1752,9.505554867,44.41393293,163.7127344,10.12565436,42.17918488,2.418060364,6.25E-10,344.3627583,0.04023614,0.185758609,0
1753,9.610880844,66.6208994,166.3299058,11.58353576,42.30194121,2.419118435,1.42E-09,344.3627583,0.007108296,0.185761094,0
1754,9.733977945,88.82786586,168.9471215,13.04145145,42.42467315,2.420244886,2.22E-09,344.3627583,-0.02818803,0.185761926,0
1755,9.793868468,111.0348323,171.5643272,14.49936724,42.54735516,2.421179935,3.01E-09,344.3627583,-0.057634136,0.173626323,0
1756,9.910318802,133.2417988,174.1875438,15.96328379,42.6746273,2.428677899,3.81E-09,344.3627583,-0.073663738,0.048675303,0
1757,10.09434705,155.4487653,176.8047499,17.42119988,42.79720727,2.429800598,4.60E-09,344.3627583,-0.067883721,0.000670793,0
1758,10.21677361,177.6557317,179.4219554,18.87911537,42.9197362,2.430161642,5.40E-09,344.3627583,-0.032634197,0.104594082,0
1759,10.33927712,199.8626982,182.0391709,20.33703086,43.04221523,2.431489074,6.20E-09,344.3627583,0.018293916,0.157633469,0
1760,10.51476056,222.0696647,184.6563421,21.79491206,43.1646166,2.432088827,6.99E-09,344.3627583,0.055984931,0.176274282,0
1761,10.74832444,244.2766311,187.3064642,23.26099416,43.2870213,2.442368762,7.79E-09,344.3627583,0.065353083,0.182573423,0
1762,10.95264474,266.4835976,189.9476697,24.71815971,43.40248092,2.442956843,8.58E-09,344.3627583,0.051234553,-0.267860171,0
1763,11.19204928,288.690564,192.5888753,26.17532526,43.51788841,2.444252117,9.38E-09,344.3627583,0.023520112,-0.579919504,0
1764,11.39744684,310.8975305,195.2300808,27.63249081,43.63324376,2.445960818,1.02E-08,344.3627583,-0.011526604,-0.239503723,0
1765,11.64395982,333.104497,197.8712863,29.08965625,43.74854808,2.44562912,1.10E-08,344.3627583,-0.044826055,0.035267171,0
1766,11.8765637,355.3114634,200.5243574,30.55868735,43.87297386,2.459722207,1.18E-08,344.3627583,-0.066807281,-0.03445293,0
1767,12.15300545,377.5184299,203.1655629,32.0158529,43.98817391,2.459854864,1.26E-08,344.3627583,-0.067275298,-0.204263602,0
1768,12.46744444,399.7253964,205.8067585,33.47301845,44.10332294,2.461956186,1.34E-08,344.3627583,-0.032602996,-0.100247777,0
1769,12.78059365,421.9323628,208.447964,34.93018399,44.21842094,2.46352051,1.42E-08,344.3627583,0.028551301,0.08103937,0
1770,13.09775143,444.1393293,211.0891705,36.38735054,44.3334668,2.465360016,1.49E-08,344.3627583,0.077459138,0.084448482,0
1771,13.37003438,466.3462958,213.9563347,37.88752469,44.63217518,2.479282353,1.57E-08,344.3627583,0.089518391,0.062627692,0
1772,13.62406253,488.5532622,216.8110172,39.37521715,44.92115979,2.481166386,1.65E-08,344.3627583,0.074276618,0.119996779,0
1773,13.80870269,510.7602287,219.6656995,40.86290952,45.21007118,2.482927529,1.73E-08,344.3627583,0.044838313,0.162561539,0
1774,14.01298635,532.9671952,222.5203829,42.35060288,45.49890714,2.485412526,1.81E-08,344.3627583,0.006492072,0.177918496,0
1775,14.33950604,555.1741616,225.3750653,43.83829525,45.78766878,2.487636391,1.89E-08,344.3627583,-0.031744964,0.183125222,0
1776,14.65472182,577.3811281,228.2429152,45.33915521,46.08653246,2.503861903,1.97E-08,344.3627583,-0.060184832,0.184876412,0
1777,14.960147,599.5880946,231.1001175,46.82936753,46.37514435,2.506134192,2.05E-08,344.3627583,-0.068858758,0.185464751,0
1778,15.24410393,621.795061,233.9574092,48.31966916,46.66368303,2.50778246,2.13E-08,344.3627583,-0.044638848,0.18566238,0
1779,15.53586916,644.0020275,236.8147882,49.81005821,46.95214628,2.511865345,2.21E-08,344.3627583,0.013379731,0.18572877,0
1780,15.87937218,666.208994,239.67229,51.30056997,47.24056183,2.513322059,2.29E-08,344.3627583,0.070470075,0.185751073,0
1781,16.23504384,688.4159604,242.466876,52.78624604,47.4252615,2.532052219,2.37E-08,344.3627583,0.091780476,0.185758566,0
1782,16.58163207,710.6229269,245.244913,54.25537299,47.59698393,2.53348706,2.45E-08,344.3627583,0.079557417,0.185761082,0
1783,17.06344574,732.8298933,248.0231355,55.72468552,47.76866089,2.536821623,2.53E-08,344.3627583,0.048980268,-0.710674798,0
1784,17.47180421,755.0368598,250.8014633,57.19411327,47.94023912,2.538317304,2.61E-08,344.3627583,0.008785359,-2.547330476,0
1785,17.9658598,777.2438263,253.648235,58.731975,48.11177519,2.539871632,2.69E-08,344.3627583,-0.031323748,-2.40513542,0
1786,18.44824874,799.4507927,256.4482022,60.2230322,48.29968396,2.563715986,2.77E-08,344.3627583,-0.059318999,-0.90498936,0
1787,18.85989761,821.6577592,259.2270264,61.69294643,48.47106918,2.564451632,2.85E-08,344.3627583,-0.062119305,-0.291697643,0
1788,19.28701653,843.8647257,262.0059558,63.16297576,48.64235567,2.564219918,2.93E-08,344.3627583,-0.020964959,-0.003803348,0
1789,19.86423365,866.0716921,264.7850797,64.63318969,48.81359557,2.565644105,3.01E-08,344.3627583,0.053410835,0.120758479,0
1790,20.39892467,888.2786586,267.5643541,66.10355411,48.98476338,2.568264521,3.09E-08,344.3627583,0.10706905,0.163866515,0
1791,20.93260437,910.4856251,270.4799875,67.58410747,49.08687859,2.58960726,3.17E-08,344.3627583,0.113605695,0.178404565,0
1792,21.93011044,932.6925915,273.4213308,69.09037083,49.17434047,2.596713442,3.25E-08,344.3627583,0.097466889,0.183290672,0
1793,22.29817059,954.899558,276.317436,70.55139604,49.26018616,2.597669104,3.33E-08,344.3627583,0.07298957,0.184932085,0
1794,22.52057347,977.1065245,279.2089369,72.00781694,49.34577006,2.597877767,3.40E-08,344.3627583,0.039666718,0.185483458,0
1795,22.3161579,999.3134909,282.1046167,73.46841673,49.43144159,2.598404685,3.48E-08,344.3627583,0.002786933,0.185668672,0
1796,22.12227676,1021.520457,285.0178178,74.94653783,49.5242856,2.608883501,3.56E-08,344.3627583,-0.033094414,0.120927073,0
1797,22.09097759,1043.727424,287.9253807,76.41902066,49.61794492,2.620794857,3.64E-08,344.3627583,-0.062548321,0.006672025,0
1798,23.10687036,1065.93439,290.832743,77.89130301,49.71045394,2.631206882,3.72E-08,344.3627583,-0.081183221,0.007375207,0
1799,27.48632776,1088.141357,293.7456779,79.36915793,49.80519812,2.642560133,3.80E-08,344.3627583,-0.086035003,0.098949707,0
1800,32.79968891,1110.348323,296.8616265,81.05002645,49.89916692,2.658920784,3.88E-08,344.3627583,-0.075668413,0.155378516,0
1801,31.98735431,1132.55529,300.1085158,82.53028581,50.16347602,2.66107225,3.96E-08,344.3627583,-0.051627911,0.175500492,0
1802,40.31211869,1154.762256,303.5029038,84.15804381,50.47001467,2.703851042,4.04E-08,344.3627583,-0.022618621,0.182312747,0
1803,29.53970979,1176.969223,306.7904928,85.67900283,50.71726777,2.700262943,4.12E-08,344.3627583,3.34E-05,0.184603477,0
1804,31.7704733,1199.176189,310.1182996,87.24016959,51.0104831,2.716034906,4.20E-08,344.3627583,0.009752595,0.18537307,0
1805,31.25309173,1221.383156,313.3943314,88.74957137,51.25665689,2.723770007,4.28E-08,344.3627583,0.006616877,0.185631588,0
1806,32.70595631,1243.590122,316.6481111,90.23672109,51.53293269,2.743247675,4.36E-08,344.3627583,-0.004896355,0.185718426,0
1807,36.20213017,1265.797089,320.1082583,91.9302283,51.80207484,2.756618884,4.44E-08,344.3627583,-0.022158404,0.185747594,0
1808,35.49923638,1288.004055,323.1989373,93.2542773,52.06054146,2.747771395,4.52E-08,344.3627583,-0.043008587,0.185757393,0
1809,36.33529635,1310.211021,326.4633894,94.7520994,52.32423603,2.749843495,4.60E-08,344.3627583,-0.06359356,-1.589964139,0
1810,39.49392144,1332.417988,329.7350936,96.2571636,52.61402373,2.759687858,4.68E-08,344.3627583,-0.080059978,-2.839759081,0
1811,40.1783186,1354.624954,333.3366209,97.7732309,52.83642163,2.783853181,4.76E-08,344.3627583,-0.089116119,-1.513065825,0
1812,40.8161884,1376.831921,336.9460539,99.2972039,53.05469863,2.799554493,4.84E-08,344.3627583,-0.088827508,-0.415432309,0
1813,41.20782002,1399.038887,340.531222,100.796902,53.26215035,2.804647914,4.92E-08,344.3627583,-0.078351714,-0.017573796,0
1814,42.22836993,1421.245854,344.1389291,102.3191491,53.47458154,2.813692669,5.00E-08,344.3627583,-0.060060027,0.117396412,0
1815,43.5890445,1443.45282,347.7723627,103.8671127,53.69062116,2.826705742,5.08E-08,344.3627583,-0.040122478,-1.595213742,0
1816,45.49843279,1465.659787,351.5528215,105.5621115,53.92156147,2.864714387,5.16E-08,344.3627583,-0.024833904,-3.835309347,0
1817,49.27793334,1487.866753,355.2730073,107.1968373,54.136321,2.878321464,5.24E-08,344.3627583,-0.018156853,-2.924166774,0
1818,51.39410791,1510.07372,358.892374,108.730734,54.3404638,2.884469395,5.31E-08,344.3627583,-0.020957159,-0.957482638,0
1819,50.93224553,1532.280686,362.4278259,110.1807259,54.54894048,2.887460151,5.39E-08,344.3627583,-0.031331548,-0.202649236,0
1820,50.7351436,1554.487653,366.0470091,111.7144391,54.76014372,2.895611542,5.47E-08,344.3627583,-0.046690325,0.055091383,0
1821,52.06147411,1576.694619,370.3970836,113.2835836,55.09201789,2.908316023,5.55E-08,344.3627583,-0.063648162,0.090205445,0
1822,54.02391561,1598.901585,374.7561459,114.8617159,55.43342837,2.931941313,5.63E-08,344.3627583,-0.077657488,0.062903839,0
1823,56.36006372,1621.108552,379.1497763,116.4744163,55.77932803,2.962446242,5.71E-08,344.3627583,-0.084568548,-0.102317607,0
1824,57.58598554,1643.315518,383.4906913,118.0344013,56.12394316,2.986857584,5.79E-08,344.3627583,-0.079958575,-0.149864552,0
1825,60.73334337,1665.522485,388.0134162,119.7761962,56.46307522,3.006780585,5.87E-08,344.3627583,-0.059178594,0.040451838,0
1826,61.38463494,1687.729451,392.4364479,121.4182979,56.79434595,3.02006712,5.95E-08,344.3627583,-0.027517205,0.135469508,0
1827,65.74125003,1709.936418,396.9769912,123.1779012,57.15884681,3.061560945,6.03E-08,344.3627583,0.00137508,0.168801105,0
1828,66.68450836,1732.143384,401.3973325,124.8173125,57.49092619,3.072179941,6.11E-08,344.3627583,0.017279878,0.180061821,0
1829,66.3101129,1754.350351,405.7489803,126.3880303,57.81670386,3.080641894,6.19E-08,344.3627583,0.016468647,0.183847341,0
1830,88.99212879,1776.557317,410.6538681,128.5119881,58.27022843,3.272656554,6.27E-08,344.3627583,0.002084907,0.18511907,0
1831,83.25430157,1798.764284,416.0662682,130.0589582,58.58298227,3.251272946,6.35E-08,344.3627583,-0.021058562,-1.029650877,0
1832,82.09510025,1820.97125,421.9160962,132.0433562,58.92784699,3.26906467,6.43E-08,344.3627583,-0.046893133,-1.871754406,0
1833,83.25234125,1843.178217,427.796301,134.058131,59.27644881,3.291727962,6.51E-08,344.3627583,-0.067236297,-0.959126377,0
1834,88.7667323,1865.385183,433.2343898,135.6307898,59.63342666,3.306660724,6.59E-08,344.3627583,-0.073749541,-0.219410863,0
1835,97.40356863,1887.59215,439.3964501,137.9274201,59.97860862,3.334952059,6.67E-08,344.3627583,-0.055801067,-0.841349856,0
1836,106.8988565,1909.799116,445.3592156,140.0247556,60.41737226,3.473366444,6.75E-08,344.3627583,-0.009615533,-1.365543905,0
1837,106.2037527,1932.006082,451.2914363,142.0915463,60.74868958,3.475200253,6.83E-08,344.3627583,0.041858601,-0.6658922,0
1838,105.8495797,1954.213049,456.6093351,143.5440151,61.1069575,3.51301104,6.91E-08,344.3627583,0.069736848,-0.115352051,0
1839,109.6575067,1976.420015,462.4806129,145.5498529,61.45777008,3.562257618,6.99E-08,344.3627583,0.068808613,0.083931327,0
1840,118.8133588,1998.626982,468.4110097,147.6148197,61.82949887,3.623875447,7.07E-08,344.3627583,0.050750935,0.151525133,0
1841,122.1705295,2020.833948,476.2326186,149.6381086,62.14892381,3.662369085,7.15E-08,344.3627583,0.023137898,0.174260283,0
1842,129.3940668,2043.040915,484.3897358,151.9969158,62.47649404,3.733025282,7.22E-08,344.3627583,-0.010684173,0.181898616,0
1843,132.3747901,2065.247881,492.3930155,154.2018755,62.78874095,3.791397155,7.30E-08,344.3627583,-0.043273797,0.184464478,0
1844,141.9722381,2087.454848,501.174931,157.185471,63.12355466,3.885687354,7.38E-08,344.3627583,-0.067704314,0.18532638,0
