Year,Energy Balance Model.Surface Temperature Anomaly[1]
1980,0.438756315291
1981,0.450883605421
1982,0.467783829951
1983,0.44567538907
1984,0.438635780745
1985,0.471177768132
1986,0.507164364217
1987,0.53658045781
1988,0.565440427756
1989,0.598536675503
1990,0.635380471564
1991,0.66672181301
1992,0.594010276901
1993,0.530043676145
1994,0.571308414044
1995,0.641484937606
1996,0.693176491297
1997,0.729541549679
1998,0.760627489742
1999,0.792817134294
2000,0.825711179488
2001,0.857294141874
2002,0.884744124906
2003,0.909988280296
2004,0.929184653396
2005,0.944779873601
2006,0.95947701122
2007,0.973903152388
2008,0.991101694677
2009,1.00971493142
2010,1.02842113556
2011,1.0512167055
2012,1.07635722345
2013,1.10467983845
2014,1.13373940604
2015,1.1605434853
2016,1.18222161664
2017,1.20308323171
2018,1.22632234821
2019,1.24997302388
2020,1.27349949472
2021,1.2984154369
2022,1.32644197871
2023,1.35716470073
2024,1.38784997719
2025,1.41665071084
2026,1.44145795703
2027,1.46265532763
2028,1.4819475315
2029,1.50134631193
2030,1.52063189732
2031,1.5409095132
2032,1.5625305214
2033,1.58553716384
2034,1.61146785536
2035,1.64124564981
2036,1.67081717464
2037,1.69987511541
2038,1.72676814976
2039,1.75239995142
2040,1.77634954919
2041,1.7981952222
2042,1.81930114464
2043,1.84124014878
2044,1.86479385847
2045,1.89016360034
2046,1.91890100732
2047,1.94947575257
2048,1.98067337486
2049,2.01045731457
2050,2.03630029091
2051,2.05809998686
2052,2.07884859829
2053,2.09983811731
2054,2.1209526768
2055,2.14343283912
2056,2.16861045731
2057,2.19621619789
2058,2.22302456483
2059,2.24861634091
2060,2.27396942933
2061,2.2969945752
2062,2.31789470476
2063,2.33822656804
2064,2.35906985349
2065,2.38071868655
2066,2.40346521146
2067,2.42902771695
2068,2.45678474478
2069,2.48445758159
2070,2.50998240737
2071,2.53279120542
2072,2.55330393859
2073,2.57329461894
2074,2.59366754183
2075,2.61374262079
2076,2.63390699541
2077,2.65435530502
2078,2.67578226275
2079,2.69920764781
2080,2.72426273956
2081,2.74970817475
2082,2.77415295501
2083,2.7974277693
2084,2.81894177077
2085,2.83958270599
2086,2.85883962114
2087,2.87731761316
2088,2.89678019328
2089,2.917291737
2090,2.93960494298
2091,2.96450035299
2092,2.99056753719
2093,3.017475871
2094,3.04205387697
2095,3.06272656737
2096,3.08155326457
2097,3.09934443906
2098,3.11737930898
2099,3.13602088614
2100,3.15611756078
2101,3.17690581444
2102,3.19750225034
2103,3.21807762875
2104,3.23866767667
2105,3.25927402549
2106,3.27988792757
2107,3.30049776471
2108,3.32109312312
2109,3.34166753955
2110,3.36221976832
2111,3.3827525878
2112,3.40327053972
2113,3.42377759138
2114,3.44427427365
2115,3.46475772943
2116,3.48522086754
2117,3.50565234072
2118,3.52603967452
2119,3.54637203363
2120,3.56664233866
2121,3.5868491393
2122,3.60699570018
2123,3.62708759605
2124,3.64713093772
2125,3.66713141611
2126,3.68709396857
2127,3.70702293284
2128,3.72692242112
2129,3.74679668751
2130,3.76665029706
