Ocean.Initial Cold surface ocean pH,Ocean.Initial Warm surface ocean pH,Ocean.Initial Cold surface ocean carbon reservoir,Ocean.Initial Warm surface ocean carbon reservoir,Ocean.Initial Intermediate depth ocean carbon reservoir,Ocean.Initial Deep ocean ocean carbon reservoir
8.38295313509,8.14833742862,319.656200934,2184.49335293,6404.12183075,29505.0511486
8.38040245149,8.14693526749,319.872843905,2185.40090385,6406.57786223,29521.7184684
8.37940557304,8.14638661498,319.957340963,2185.75564546,6407.53716226,29528.2192169
8.38476681112,8.14933299317,319.501768302,2183.84813686,6402.37414749,29493.1699711
8.38240560158,8.1480366396,319.702759527,2184.68815502,6404.64922768,29508.6331081
8.38516468998,8.14955123639,319.467846224,2183.70660276,6401.99060039,29490.5601997
8.37198591568,8.14229154948,320.583190931,2188.39673302,6414.66677006,29576.3688962
8.38030471285,8.14688149117,319.881132692,2185.43568326,6406.67193106,29522.3561628
8.37945544178,8.14641406994,319.953116317,2185.73789895,6407.4891812,29527.8941953
8.38529798544,8.14962433826,319.456478342,2183.65918761,6401.86209457,29489.6856199
8.37543019829,8.14419504918,320.293333715,2187.17054212,6411.35940392,29554.0687386
8.37759872556,8.14539124814,320.110244555,2186.39868082,6409.27505904,29539.9828083
8.37819837146,8.14572171781,320.059535209,2186.18526488,6408.6984161,29536.0814983
8.38086486331,8.14718964144,319.833616102,2185.23636211,6406.13276973,29518.7004943
8.38102648413,8.14727853096,319.81990038,2185.17885325,6405.97718561,29517.6452814
8.37520149829,8.14406879297,320.312616112,2187.25195199,6411.57913481,29555.5522275
8.38304781322,8.14838942918,319.648147161,2184.45966903,6404.03062453,29504.4315362
8.38049203514,8.14698455382,319.865245885,2185.36902654,6406.49163941,29521.133918
8.38161909767,8.14760437939,319.769587195,2184.96799181,6405.40663274,29513.7744603
8.37862872546,8.14595880778,320.023120441,2186.03210608,6408.28449738,29533.279939
8.37905078602,8.14619126256,319.987389836,2185.88190338,6407.87849573,29530.5310165
8.37952124356,8.14645029535,319.947541526,2185.71448253,6407.42586895,29527.4653007
8.3801083514,8.14677344143,319.897782425,2185.50555745,6406.86091014,29523.6371032
8.3811626321,8.14735340329,319.808344391,2185.13040881,6405.84611618,29516.7562267
8.37718085165,8.14516087618,320.145561478,2186.54740886,6409.67683241,29542.6999073
8.38165836638,8.14762596674,319.766252048,2184.95401969,6405.36882174,29513.5178724
8.38373810269,8.14876846131,319.589401311,2184.21408984,6403.36555872,29499.9119594
8.38016727841,8.14680586806,319.892786326,2185.48458848,6406.80419989,29523.2527304
8.37782168732,8.14551413962,320.091393792,2186.31932694,6409.06066422,29538.5325297
8.38089340361,8.14720533896,319.831194256,2185.22620669,6406.10529607,29518.5141706
8.37517203398,8.14405252549,320.315099966,2187.26244043,6411.60744232,29555.7433226
8.37849811799,8.14588686092,320.034173817,2186.07858751,6408.41012342,29534.1303271
8.37624390483,8.14464410776,320.224686191,2186.88089924,6410.57746843,29548.7873515
8.38384138153,8.14882515586,319.580607936,2184.17734816,6403.26604021,29499.2354467
8.37804130572,8.14563517042,320.072820947,2186.24116421,6408.84946818,29537.1036329
8.37629642306,8.1446730825,320.220253322,2186.86220568,6410.52699322,29548.4463094
8.38254990513,8.1481159238,319.690491766,2184.63681379,6404.51024079,29507.6892945
