Year,="Run 1: Ocean.Air sea co2 flux[1]"
1781,-0.0281806900645
1782,0.00698743127588
1783,0.146856237506
1784,0.47360781343
1785,0.419459915945
1786,0.113352507163
1787,-0.0832863590909
1788,-0.163646117423
1789,-0.183205881533
1790,-0.203732479714
1791,-0.188381239224
1792,-0.133084687577
1793,-0.0860381909458
1794,-0.0565613689881
1795,-0.0146035398291
1796,0.0263721273012
1797,-0.00455064457938
1798,-0.0311299015216
1799,-0.00494585579921
1800,-0.00324276659857
1801,0.00328850135418
1802,0.0251134265313
1803,-0.0208506323475
1804,-0.0811104712457
1805,-0.0713103413963
1806,-0.0565995326635
1807,-0.0653394143845
1808,-0.0715888761251
1809,0.192076383272
1810,0.756959151272
1811,0.648998580286
1812,0.173518036338
1813,-0.106285978637
1814,-0.21467149232
1815,0.234971447324
1816,1.300736641
1817,1.05898326877
1818,0.121244956885
1819,-0.370702431555
1820,-0.511757860398
1821,-0.449783593964
1822,-0.282329889699
1823,-0.165887956144
1824,-0.138340981767
1825,-0.110494202724
1826,-0.0937539121841
1827,-0.099964402413
1828,-0.108225201948
1829,-0.0799103331065
1830,-0.0437168178228
1831,0.254284827409
1832,0.864044232656
1833,0.75286970381
1834,0.23733118555
1835,0.0177961942835
1836,0.0728633233782
1837,-0.0350251441915
1838,-0.189677927742
1839,-0.201528856977
1840,-0.16947205976
1841,-0.0877030200838
1842,0.0142845564039
1843,0.0384710484739
1844,0.047237665255
1845,0.129729920508
1846,0.143617677049
1847,0.0829984717718
1848,0.0287914503585
1849,0.018332149543
1850,0.0309151964364
1851,0.06049058349
1852,0.0973503861331
1853,0.119521238151
1854,0.125296028617
1855,0.172708121099
1856,0.241126928545
1857,0.187935295795
1858,0.126469785484
1859,0.137123134385
1860,0.13712621334
1861,0.168794443859
1862,0.250183621485
1863,0.296174750336
1864,0.368887768447
1865,0.331305242995
1866,0.210228948219
1867,0.124325503238
1868,0.089270922306
1869,0.0993556797207
1870,0.112704774708
1871,0.149489300374
1872,0.187096959693
1873,0.22084175572
1874,0.239464264374
1875,0.232459608121
1876,0.219380222469
1877,0.195241442132
1878,0.192634829181
1879,0.231804291447
1880,0.252218584762
1881,0.293042339932
1882,0.334919109225
1883,0.299551100502
1884,0.535153047466
1885,0.731845280249
1886,0.520385042553
1887,0.278895930939
1888,0.163043442519
1889,0.134579016414
1890,0.150589936869
1891,0.275114557946
1892,0.348864020869
1893,0.332699057133
1894,0.286424560311
1895,0.25811631582
1896,0.250821800666
1897,0.249302071267
1898,0.287294359572
1899,0.356752863557
1900,0.399148289913
1901,0.450643853652
1902,0.529536805557
1903,0.645535820645
1904,0.660170437887
1905,0.562695828452
1906,0.457265040688
1907,0.401875754323
1908,0.434724983668
1909,0.446930226969
1910,0.450082321917
1911,0.50371643156
1912,0.564777431508
1913,0.755985128611
1914,0.751331136538
1915,0.610778240236
1916,0.497934385824
1917,0.41884169393
1918,0.426538562129
1919,0.497573927711
1920,0.503089135369
1921,0.503201349768
1922,0.54209538699
1923,0.579655894517
1924,0.623403249906
1925,0.647014607374
1926,0.66237672824
1927,0.647437608348
1928,0.662612823811
1929,0.733440883063
1930,0.773790607824
1931,0.77710866784
1932,0.739023096426
1933,0.7001141875
1934,0.680206092643
1935,0.709070460433
1936,0.761659097217
1937,0.797514685036
1938,0.826254856233
1939,0.799538727255
1940,0.789079500314
1941,0.875150116128
1942,0.934777816396
1943,0.938011252505
1944,0.981767323821
1945,0.987963264751
1946,0.928089474375
1947,0.861229175391
1948,0.850601199539
1949,0.892191848735
1950,0.879214181573
1951,0.937778127588
1952,1.0961660974
1953,1.16207042351
1954,1.17309272922
1955,1.14908804388
1956,1.10955062939
1957,1.15784960772
1958,1.27297146267
1959,1.36199618371
1960,1.3932151625
1961,1.42223729149
1962,1.50699243163
1963,1.64326097862
1964,1.84827221488
1965,1.85368100316
1966,1.66317650796
1967,1.51888786403
1968,1.45101318966
1969,1.48139069038
1970,1.58695589175
1971,1.64058462505
1972,1.70882201787
1973,1.75085139047
1974,1.67634838925
1975,1.69875334552
1976,1.71837880241
1977,1.74671131944
1978,1.76305793555
1979,1.79883125429
1980,1.91181175967
1981,1.94800708685
1982,1.94403094179
1983,2.18331246062
1984,2.21649823059
1985,2.06314171437
1986,1.99525671247
1987,2.06774917213
1988,2.11187933676
1989,2.02445830337
1990,1.9720767266
1991,2.01122110873
1992,2.41173936797
1993,2.54666844437
1994,2.33646178175
1995,2.15423160081
1996,2.03094952064
1997,2.00114076678
1998,2.09689098663
1999,2.11792010023
2000,2.03861388956
2001,2.06031989797
2002,2.21703033017
2003,2.32105394654
2004,2.36857773288
2005,2.49844965749
2006,2.60834741993
2007,2.65870766703
2008,2.65788188693
2009,2.65044851933
2010,2.64393929305
2011,2.60018164154
2012,2.65140489246
2013,2.68079796777
2014,2.66605474546
2015,2.75422475108
2016,2.79044185591
2017,2.7403523317
2018,2.71796856601
2019,2.75339930246
2020,2.79443710814
2021,2.79399140133
2022,2.78634053208
