Year,="Run 1: Energy Balance Model.Land & Ocean Surface Temperature[1]"
1750,0
1751,0.0244861565543
1752,0.0588015240386
1753,0.07559594488
1754,0.0715616683933
1755,0.0424434612999
1756,0.0203718440023
1757,0.0196401204568
1758,0.0265675138586
1759,0.040315285874
1760,0.0604021979256
1761,0.0808002423179
1762,0.0703773471536
1763,-0.000301624718373
1764,-0.0447065087685
1765,-0.0283033865543
1766,-0.00351446608804
1767,0.00191332756729
1768,-0.0225171900389
1769,-0.0276464486305
1770,0.00609884291527
1771,0.0468082393618
1772,0.0782742608038
1773,0.0966172383093
1774,0.103041401736
1775,0.0997400246654
1776,0.0904892506228
1777,0.0793543149986
1778,0.0706003330106
1779,0.0703715269858
1780,0.0825565014315
1781,0.101546583769
1782,0.118127541165
1783,0.0743607264446
1784,-0.0853679272363
1785,-0.182286307111
1786,-0.146838581753
1787,-0.0885364573284
1788,-0.0390823063969
1789,0.00414077595811
1790,0.0471418152026
1791,0.0845243157438
1792,0.109443438062
1793,0.122527758514
1794,0.126369831828
1795,0.117360795223
1796,0.0925482832747
1797,0.0710752482521
1798,0.0614492263032
1799,0.0558914038792
1800,0.0535122385369
1801,0.0549212000294
1802,0.0615296624081
1803,0.0719503327362
1804,0.0824120902404
1805,0.0905677050659
1806,0.0952171671254
1807,0.0957383447734
1808,0.0923768508453
1809,0.00648324782108
1810,-0.245042895399
1811,-0.389299813319
1812,-0.32150446805
1813,-0.214202522175
1814,-0.123820398072
1815,-0.209338094329
1816,-0.634409993013
1817,-0.876719602744
1818,-0.720270748651
1819,-0.491766127533
1820,-0.307767835459
1821,-0.182189894335
1822,-0.107831823987
1823,-0.0757010751922
1824,-0.0552527898926
1825,-0.0296430182282
1826,-0.00409319494896
1827,0.0201748587551
1828,0.0417575600919
1829,0.0585322023831
1830,0.0696461935566
1831,-0.00654079678454
1832,-0.256774162555
1833,-0.402217655757
1834,-0.333099299962
1835,-0.250094496708
1836,-0.236020425812
1837,-0.205724275054
1838,-0.122746532302
1839,-0.0434432743487
1840,0.0138206743014
1841,0.049116999067
1842,0.0678881015598
1843,0.0744818022906
1844,0.0659794811621
1845,0.0398394102378
1846,0.0237895337082
1847,0.029102218268
1848,0.0406577220173
1849,0.0520431396202
1850,0.0628135240538
1851,0.0729944150321
1852,0.0810738239382
1853,0.0868338841004
1854,0.0905980158804
1855,0.0813092011061
1856,0.0509230569498
1857,0.0337647737746
1858,0.0423069217555
1859,0.0583369223424
1860,0.0749426323539
1861,0.0871591061908
1862,0.0865717491742
1863,0.063490860627
1864,0.00797308423066
1865,-0.0185952483908
1866,0.00455339872771
1867,0.033908426735
1868,0.0560791746473
1869,0.0715514873305
1870,0.0845609506946
1871,0.094755681917
1872,0.103130006814
1873,0.105199073413
1874,0.101406753162
1875,0.101586274965
1876,0.10272671273
1877,0.0994870535979
1878,0.0963501784716
1879,0.0952164656831
1880,0.0936361214792
1881,0.0901749913575
1882,0.0911615534955
1883,0.0962251466762
1884,0.0083416593885
1885,-0.125276819664
1886,-0.147417227653
1887,-0.0992783137767
1888,-0.0510988214551
1889,-0.0092389078024
1890,0.0209713684342
1891,0.0195810341596
1892,0.00823870990182
1893,0.0140727323202
1894,0.0338154590487
1895,0.05919587446
1896,0.0755261250711
1897,0.0800663644213
1898,0.0773859592622
1899,0.0715438362601
1900,0.063213225553
1901,0.0532226279986
1902,0.0444693524942
1903,-0.00511143871371
1904,-0.0725574182484
1905,-0.083879398231
1906,-0.0571847321173
1907,-0.0351940839716
1908,-0.0350091329038
1909,-0.0327203676893
1910,-0.0218324608321
1911,-0.0217751317321
1912,-0.027359545199
1913,-0.0845921173853
1914,-0.131399867524
1915,-0.115409297589
1916,-0.0799462496408
1917,-0.0512172759015
1918,-0.0353183018475
1919,-0.0240479146024
1920,-0.00869165206261
1921,0.000128738132859
1922,0.00200431630415
1923,0.000223469499315
1924,-0.0102963444132
1925,-0.0158507192197
1926,-0.0138106764748
1927,-0.00634320929525
1928,0.000886266406086
1929,-0.00367212198145
1930,-0.0163857338116
1931,-0.0146950131049
1932,0.00265703967505
1933,0.0186720118526
1934,0.0379947975846
1935,0.0517242880445
1936,0.0559087465341
1937,0.0603578782099
1938,0.0613462532943
1939,0.0632274535718
1940,0.066656702362
1941,0.0577392919855
1942,0.0422988307802
1943,0.0275751305029
1944,0.0147958640824
1945,0.00958479016492
1946,0.0247075774727
1947,0.0537437288149
1948,0.0736703235432
1949,0.082349959253
1950,0.0899522080397
1951,0.0875533844957
1952,0.0699861412478
1953,0.0553636645188
1954,0.046712138103
1955,0.0425619335391
1956,0.0387756882205
1957,0.0345723632989
1958,0.0378706814681
1959,0.0468606518514
1960,0.0504940059144
1961,0.0448903257197
1962,0.0178848273803
1963,-0.0401524458124
1964,-0.14310738655
1965,-0.214799983491
1966,-0.203960843992
1967,-0.171388530864
1968,-0.145443726825
1969,-0.119426071533
1970,-0.0941386604011
1971,-0.0835552291517
1972,-0.0854250162683
1973,-0.0772392416355
1974,-0.0663647928129
1975,-0.0779746718536
1976,-0.0882776475476
1977,-0.0759284112659
1978,-0.0522014105732
1979,-0.0211894820234
1980,0.0116850206759
1981,0.0366166887076
1982,0.0571707680662
1983,0.0366223519023
1984,0.0121328452571
1985,0.0299888860763
1986,0.0616489286965
1987,0.0955106516061
1988,0.130882800149
1989,0.167952550791
1990,0.210973499063
1991,0.251054624924
1992,0.185107802348
1993,0.0875169841899
1994,0.101223026886
1995,0.183326538809
1996,0.267234723299
1997,0.33560637761
1998,0.393150047103
1999,0.442018453604
2000,0.493426069319
2001,0.543614956971
2002,0.582258716131
2003,0.615125207169
2004,0.634304705631
2005,0.63649025657
2006,0.630726987923
2007,0.625733610501
2008,0.628835028907
2009,0.641252998688
2010,0.665173942376
2011,0.699772356117
2012,0.735691437548
2013,0.775251905804
2014,0.818044013458
2015,0.85743224175
