Ocean.Initial Cold surface ocean pH,Ocean.Initial Warm surface ocean pH,Ocean.Initial Cold surface ocean carbon reservoir,Ocean.Initial Warm surface ocean carbon reservoir,Ocean.Initial Intermediate depth ocean carbon reservoir,Ocean.Initial Deep ocean ocean carbon reservoir
8.49838943321,8.14407186186,492.488602241,1282.70974656,9043.81523786,26111.2543292
8.7415548376,8.13802715986,227.781787922,2621.57695657,7522.3933088,26667.7128624
8.54198512753,8.13893500148,602.400190306,695.483323973,9158.03473177,26405.2793128
8.5405759026,8.14506344699,364.655653929,3056.58950452,9131.59191663,24136.8703643
8.3518494246,8.14789439217,333.269053822,633.661297721,2939.6915753,33130.7500154
8.48902613077,8.14896446361,106.043933037,560.392625055,9075.3155206,27386.3687882
8.5068606389,8.14000342049,241.008218835,1972.41638063,3707.54949999,30980.5682086
8.33484252064,8.14922058006,620.178525249,720.506060954,3642.43909293,31977.6987469
8.54585690736,8.14307730942,152.770377125,657.913517304,5684.7791265,30753.8632724
8.32812734858,8.15046816432,322.662128534,556.854246584,8528.4888466,27401.9916874
8.29137066198,8.15870733079,129.098825205,1798.7244937,8687.08463761,26097.6711235
8.65699503613,8.13842694866,163.690950827,3086.07752892,7004.26768786,26486.8141074
8.75511941974,8.13730020962,181.551470117,3199.58912491,7322.43337444,26189.1329498
8.35506917521,8.15166581289,373.743333427,2272.02421186,8212.82436022,25867.1138466
8.33593896874,8.14842515677,554.314330146,2237.25833514,5754.99619715,28164.0683288
8.33746726509,8.14939115281,601.583988905,939.372507406,8468.93551593,26678.4812554
8.57534566617,8.13688107851,545.296037369,813.334871162,4470.2295196,31246.1213731
8.53280902813,8.14639282016,263.182495796,706.304762715,7595.60838586,28629.3056975
8.29739721545,8.1528652551,387.975089238,2501.47693229,8971.75336806,24796.4679929
8.86656888365,8.13410364982,223.578626002,2467.4696698,3317.82931944,31158.4925242
8.5331267218,8.1399112327,570.26983563,1557.24384524,4911.29185387,29956.2053494
8.80712875668,8.12977136422,238.019997062,2339.84902723,8113.06436095,26113.9948606
8.73473772026,8.13332096553,335.415015247,3610.43645774,5518.8718373,27267.1285245
8.35826887499,8.14654746081,519.18174738,2799.47432561,4780.33284409,28492.5461241
8.24078874149,8.15418415928,372.612913663,2802.48823326,5902.94815203,27369.1912304
8.25867423603,8.15288303308,371.727936199,2958.00124953,4297.36610114,28910.1804315
8.61089278745,8.15033317565,544.562114498,1928.54250595,8289.60379334,26310.2164799
