Run,Ocean.Depth of warm surface ocean layer[1],Ocean.Thickness of intermediate ocean layer[1],Ocean.Depth of cold surface ocean layer[1],Ocean.Reference overturning strength in Sv[1],Ocean.Reference intermediate to warm surface ocean mixing strength[1],Ocean.Reference cold surface to deep ocean mixing strength[1],Ocean.Reference strength of biological carbon pump in low latitude ocean[1],Ocean.Reference strength of biological carbon pump in high latitude ocean[1],Ocean.High latitude carbon pump transfer efficiency[1],Ocean.Atmospheric CO2 Concentration 1750[1]
Run 1,175.93329860934978,932.5777852138875,398.2071166266453,21.66942932355765,56.85972588784141,15.243309311814514,0.7292218098521059,7.801870795286078,0.2637235401750604,279.93985690157655
Run 2,358.92543060007944,737.2952540373931,201.1336385780095,23.626199748367256,63.75901344117004,29.249897901851398,2.665861674175007,11.831010415531834,0.14966985095383023,278.8522417440592
Run 3,95.24712889407208,951.2379989010063,493.94205087422205,29.987584250374915,80.67991036412134,13.826509650109475,0.8876107021662397,8.514599171842121,0.23781125375005058,277.0872016251293
Run 4,419.3579999843868,951.5155528051165,298.8640217656191,11.440434897466748,71.89458531815207,12.247966414645902,1.5475471907873657,9.712261494298204,0.4643563793252252,278.9395812955851
Run 5,87.010391535652,311.41316575060347,258.54572144674097,24.988331302506104,62.724339568216934,10.629590208481837,0.14000983319881644,5.103141015748872,0.28683341497888937,277.49737429669034
Run 6,76.97318626303135,933.7095878177805,85.49539823526324,14.10137246517051,70.6072491635502,23.744371317432556,2.5678022064163755,7.985390994444832,0.2806283732762266,277.02455407613854
Run 7,270.2094696613905,383.91251568233935,195.39285789686267,20.412323999205114,79.08763579749134,24.611921436436315,0.8749155352260105,7.838986833739155,0.19507502793138035,275.7520635275081
Run 8,98.97410903372504,381.2673940065216,479.0710248169503,25.21296100329416,59.04809698013769,16.58002403546585,0.6123113082606677,5.67539793506389,0.31863901988371357,277.06263033771546
Run 9,90.2111596512064,580.633193960691,125.42486603479239,12.191873095683007,62.12429832154635,22.00834760776894,1.278719961669903,8.064290388492473,0.2382513292157741,278.6922703281989
Run 10,76.52203608812877,895.8757219994321,248.83522222155656,18.814676795487983,82.4301567516469,26.552275509130304,2.4552277425090896,5.314739390498322,0.24698833275935916,276.1781806637388
